timestamp_utc,clinker_outlet_T_c,secondary_air_T_c,exhaust_T_c,fan_amp_4_20mA,grate_speed_hz,ambient_T_c,ambient_rh_pct
2026-07-15T09:05:00+00:00,352.98,719.72,164.91,71.13,35.84,33.1,73.96
2026-07-15T09:06:00+00:00,331.17,722.89,169.99,71.76,34.31,32.21,64.97
2026-07-15T09:07:00+00:00,343.16,753.64,184.39,71.89,35.3,31.25,77.91
2026-07-15T09:08:00+00:00,349.36,738.84,167.03,71.9,34.57,31.14,73.8
2026-07-15T09:09:00+00:00,364.82,767.48,164.31,72.41,33.55,31.15,65.86
2026-07-15T09:10:00+00:00,344.1,742.54,170.43,72.81,32.98,31.11,72.88
2026-07-15T09:11:00+00:00,359.11,698.31,167.01,72.35,32.87,32.23,71.32
2026-07-15T09:12:00+00:00,339.78,762.48,179.86,71.99,33.14,31.03,80.41
2026-07-15T09:13:00+00:00,329.99,754.42,185.58,71.71,32.67,29.69,70.0
2026-07-15T09:14:00+00:00,358.09,736.36,185.79,70.8,31.53,32.13,86.98
2026-07-15T09:15:00+00:00,366.3,735.2,182.31,72.35,32.08,32.85,60.89
2026-07-15T09:16:00+00:00,347.92,702.92,174.69,72.29,32.19,31.77,70.47
2026-07-15T09:17:00+00:00,361.48,731.39,168.7,71.83,32.06,31.35,73.42
2026-07-15T09:18:00+00:00,355.62,728.33,172.04,72.34,34.51,31.29,77.47
2026-07-15T09:19:00+00:00,337.39,714.81,163.65,71.67,28.5,32.18,78.56
2026-07-15T09:20:00+00:00,373.59,723.17,176.83,72.73,32.53,32.88,78.25
2026-07-15T09:21:00+00:00,356.08,728.41,179.45,71.31,35.12,32.56,64.91
2026-07-15T09:22:00+00:00,344.56,715.19,172.13,72.43,29.41,32.2,80.24
2026-07-15T09:23:00+00:00,359.33,705.18,184.22,72.38,30.25,32.92,76.1
2026-07-15T09:24:00+00:00,344.33,762.06,178.51,71.94,34.07,33.36,79.02
2026-07-15T09:25:00+00:00,348.23,762.7,172.01,72.18,32.27,33.18,76.62
2026-07-15T09:26:00+00:00,353.0,725.74,178.86,72.02,35.22,33.02,79.68
2026-07-15T09:27:00+00:00,367.64,706.72,179.67,71.7,28.73,31.54,77.0
2026-07-15T09:28:00+00:00,374.95,733.44,204.9,71.8,34.85,31.51,74.76
2026-07-15T09:29:00+00:00,348.34,753.09,186.24,71.68,32.93,30.19,78.48
2026-07-15T09:30:00+00:00,338.0,728.8,162.38,72.3,34.75,31.93,73.11
2026-07-15T09:31:00+00:00,391.41,697.56,188.14,71.07,35.44,32.6,82.89
2026-07-15T09:32:00+00:00,380.58,724.43,180.89,71.98,34.97,30.91,78.07
2026-07-15T09:33:00+00:00,362.93,696.89,182.04,71.91,34.9,31.5,66.44
2026-07-15T09:34:00+00:00,353.91,720.87,178.71,72.03,33.66,31.5,79.08
2026-07-15T09:35:00+00:00,362.41,717.17,167.93,71.11,30.78,31.02,77.22
2026-07-15T09:36:00+00:00,379.81,722.1,159.32,72.71,35.84,31.37,78.09
2026-07-15T09:37:00+00:00,357.95,712.93,181.8,71.71,34.43,33.64,79.56
2026-07-15T09:38:00+00:00,368.4,702.34,170.73,72.28,30.01,31.74,67.27
2026-07-15T09:39:00+00:00,377.7,709.0,181.41,71.76,34.1,31.6,75.02
2026-07-15T09:40:00+00:00,337.84,712.81,174.75,71.61,30.82,33.24,86.06
2026-07-15T09:41:00+00:00,361.22,736.68,178.6,72.66,31.08,31.75,75.79
2026-07-15T09:42:00+00:00,366.91,739.58,179.25,71.8,29.98,31.98,75.2
2026-07-15T09:43:00+00:00,342.39,728.6,159.15,72.51,33.77,31.07,65.38
2026-07-15T09:44:00+00:00,373.15,726.66,182.58,71.39,35.73,30.61,72.01
2026-07-15T09:45:00+00:00,373.87,717.72,166.95,71.92,31.11,32.31,75.86
2026-07-15T09:46:00+00:00,357.22,742.93,172.06,72.25,33.95,31.04,84.25
2026-07-15T09:47:00+00:00,369.01,737.08,177.54,72.58,34.6,31.38,73.33
2026-07-15T09:48:00+00:00,365.96,736.08,165.67,72.89,35.64,34.56,77.86
2026-07-15T09:49:00+00:00,346.55,742.92,171.2,71.9,34.89,31.02,74.46
2026-07-15T09:50:00+00:00,347.15,733.27,185.55,72.05,31.84,30.94,76.47
2026-07-15T09:51:00+00:00,350.59,711.8,172.3,71.55,33.01,32.8,75.68
2026-07-15T09:52:00+00:00,350.32,734.49,166.11,71.71,30.04,31.2,64.27
2026-07-15T09:53:00+00:00,364.54,719.59,161.07,72.2,32.69,32.74,81.33
2026-07-15T09:54:00+00:00,344.98,746.6,168.78,71.97,30.73,33.86,76.15
2026-07-15T09:55:00+00:00,328.8,739.43,169.09,72.58,34.53,31.12,74.23
2026-07-15T09:56:00+00:00,340.59,726.54,166.52,72.52,34.74,31.97,67.25
2026-07-15T09:57:00+00:00,355.16,723.45,142.25,72.72,30.99,30.63,76.28
2026-07-15T09:58:00+00:00,353.42,711.06,175.8,72.16,33.8,32.98,72.66
2026-07-15T09:59:00+00:00,361.64,733.55,170.45,72.43,28.08,31.9,79.2
2026-07-15T10:00:00+00:00,312.57,688.34,161.13,72.68,33.49,33.2,72.56
2026-07-15T10:01:00+00:00,346.51,718.31,166.09,71.79,32.9,33.87,81.35
2026-07-15T10:02:00+00:00,343.93,734.34,152.74,72.86,31.47,32.85,72.1
2026-07-15T10:03:00+00:00,318.81,730.89,180.61,72.45,34.78,32.12,66.74
2026-07-15T10:04:00+00:00,347.67,716.18,165.01,72.33,30.89,32.19,74.45
2026-07-15T10:05:00+00:00,356.68,720.49,180.91,72.13,30.97,32.77,75.56
2026-07-15T10:06:00+00:00,372.17,744.87,159.33,72.43,30.29,29.81,76.36
2026-07-15T10:07:00+00:00,347.37,737.19,161.23,71.85,34.89,33.32,75.49
2026-07-15T10:08:00+00:00,360.03,722.49,169.31,71.84,36.64,33.07,77.95
2026-07-15T10:09:00+00:00,347.48,710.03,166.88,71.15,33.25,32.7,74.25
2026-07-15T10:10:00+00:00,340.8,704.25,160.7,71.58,35.49,31.94,70.56
2026-07-15T10:11:00+00:00,354.44,740.82,156.04,72.62,33.66,29.87,73.2
2026-07-15T10:12:00+00:00,368.88,716.2,189.39,72.07,30.21,31.4,68.79
2026-07-15T10:13:00+00:00,345.63,752.96,197.2,71.7,34.54,32.37,76.56
2026-07-15T10:14:00+00:00,330.46,715.18,182.72,72.45,32.32,31.09,74.59
2026-07-15T10:15:00+00:00,335.21,743.31,156.54,72.02,34.28,33.24,69.85
2026-07-15T10:16:00+00:00,331.12,731.08,171.63,71.99,32.45,32.32,68.27
2026-07-15T10:17:00+00:00,362.11,731.66,166.46,72.58,36.61,30.06,72.98
2026-07-15T10:18:00+00:00,336.36,720.0,172.22,71.69,29.7,32.13,72.51
2026-07-15T10:19:00+00:00,355.06,687.4,174.97,72.02,31.32,32.82,62.76
2026-07-15T10:20:00+00:00,366.53,728.25,167.76,72.37,34.25,32.88,68.03
2026-07-15T10:21:00+00:00,357.31,723.18,169.01,72.59,32.58,32.85,75.63
2026-07-15T10:22:00+00:00,363.7,734.96,168.92,72.16,29.6,31.35,76.66
2026-07-15T10:23:00+00:00,340.14,739.66,154.8,71.81,30.05,33.54,79.08
2026-07-15T10:24:00+00:00,368.72,759.65,175.12,71.53,31.69,33.05,82.79
2026-07-15T10:25:00+00:00,355.2,681.64,178.19,72.79,34.24,32.24,75.32
2026-07-15T10:26:00+00:00,352.06,726.39,179.41,72.47,29.79,32.15,78.82
2026-07-15T10:27:00+00:00,358.35,724.37,164.89,71.55,31.41,33.42,71.0
2026-07-15T10:28:00+00:00,349.62,719.76,187.86,71.64,33.47,32.82,78.5
2026-07-15T10:29:00+00:00,347.83,723.34,175.64,71.94,31.58,32.35,68.52
2026-07-15T10:30:00+00:00,359.72,753.63,177.62,72.01,32.26,33.15,74.31
2026-07-15T10:31:00+00:00,350.53,726.19,177.06,72.46,28.94,33.79,72.02
2026-07-15T10:32:00+00:00,363.67,732.37,175.36,71.19,34.34,31.59,78.05
2026-07-15T10:33:00+00:00,339.12,698.24,169.96,72.7,34.52,31.89,88.11
2026-07-15T10:34:00+00:00,351.68,715.89,169.19,72.63,33.37,31.53,70.91
2026-07-15T10:35:00+00:00,371.56,726.06,179.97,71.71,32.19,32.24,71.11
2026-07-15T10:36:00+00:00,355.29,706.78,192.04,72.17,31.77,32.63,70.95
2026-07-15T10:37:00+00:00,348.54,731.57,173.2,71.3,30.38,33.16,77.25
2026-07-15T10:38:00+00:00,357.13,746.21,157.94,72.09,32.18,31.46,74.6
2026-07-15T10:39:00+00:00,343.79,728.74,187.95,71.94,29.84,30.47,82.32
2026-07-15T10:40:00+00:00,349.1,752.12,172.17,71.5,31.89,31.71,76.44
2026-07-15T10:41:00+00:00,370.32,708.77,163.16,71.99,34.66,31.62,75.51
2026-07-15T10:42:00+00:00,374.92,715.94,196.97,72.01,35.07,31.61,81.81
2026-07-15T10:43:00+00:00,341.56,734.46,178.68,72.25,30.26,32.56,68.18
2026-07-15T10:44:00+00:00,366.99,711.61,163.27,72.12,36.24,32.59,73.87
2026-07-15T10:45:00+00:00,343.1,710.47,170.13,71.83,34.66,33.84,74.7
2026-07-15T10:46:00+00:00,358.69,723.54,195.59,72.28,30.01,31.8,80.91
2026-07-15T10:47:00+00:00,353.73,731.55,156.99,71.88,32.75,30.92,67.04
2026-07-15T10:48:00+00:00,371.76,718.16,163.26,71.44,32.99,32.04,81.24
2026-07-15T10:49:00+00:00,349.35,722.82,192.83,71.82,31.91,31.93,75.7
2026-07-15T10:50:00+00:00,341.28,759.75,165.26,72.04,33.93,31.86,77.95
2026-07-15T10:51:00+00:00,359.59,700.58,175.15,72.98,29.43,32.03,74.39
2026-07-15T10:52:00+00:00,344.4,718.97,184.92,71.87,35.92,32.86,81.95
2026-07-15T10:53:00+00:00,382.66,722.75,172.05,72.41,32.92,29.57,81.0
2026-07-15T10:54:00+00:00,385.71,726.28,179.35,71.62,28.01,33.74,79.5
2026-07-15T10:55:00+00:00,343.79,725.13,161.43,72.34,35.49,31.25,74.09
2026-07-15T10:56:00+00:00,342.75,747.58,167.65,71.81,33.52,31.38,73.07
2026-07-15T10:57:00+00:00,346.48,715.06,170.83,71.13,31.0,33.04,73.86
2026-07-15T10:58:00+00:00,344.82,718.06,160.33,71.75,35.49,31.94,78.81
2026-07-15T10:59:00+00:00,340.76,731.14,169.44,71.87,33.11,31.85,81.57
2026-07-15T11:00:00+00:00,356.41,732.59,173.45,71.15,33.31,31.99,80.36
2026-07-15T11:01:00+00:00,346.7,730.14,142.24,72.81,33.76,32.99,70.16
2026-07-15T11:02:00+00:00,348.82,726.35,161.77,72.24,34.2,30.68,80.99
2026-07-15T11:03:00+00:00,345.72,688.53,170.03,71.69,37.35,30.95,77.3
2026-07-15T11:04:00+00:00,330.22,688.73,147.88,72.54,35.2,32.51,70.37
2026-07-15T11:05:00+00:00,354.52,729.91,178.85,71.59,35.01,33.08,67.27
2026-07-15T11:06:00+00:00,322.45,728.39,179.23,72.01,30.65,34.46,77.07
2026-07-15T11:07:00+00:00,337.59,706.08,176.17,72.28,32.59,33.67,70.65
2026-07-15T11:08:00+00:00,345.18,739.72,174.05,71.83,31.6,33.01,72.17
2026-07-15T11:09:00+00:00,353.49,754.42,170.2,72.28,36.17,33.5,71.46
2026-07-15T11:10:00+00:00,339.75,671.25,177.81,71.39,32.51,32.92,79.17
2026-07-15T11:11:00+00:00,320.79,700.43,153.16,71.97,34.52,30.46,82.05
2026-07-15T11:12:00+00:00,338.66,740.11,165.19,71.37,36.44,33.44,73.48
2026-07-15T11:13:00+00:00,349.33,772.52,174.27,71.76,34.67,31.31,78.9
2026-07-15T11:14:00+00:00,347.55,754.7,189.25,72.05,30.58,31.99,77.77
2026-07-15T11:15:00+00:00,350.49,738.15,180.58,72.2,33.99,30.89,75.56
2026-07-15T11:16:00+00:00,332.05,706.44,166.68,72.76,34.84,31.22,68.45
2026-07-15T11:17:00+00:00,353.93,750.84,190.59,71.74,38.88,32.99,73.41
2026-07-15T11:18:00+00:00,354.23,703.34,157.73,71.61,33.43,33.42,78.91
2026-07-15T11:19:00+00:00,344.44,727.46,175.02,71.87,33.24,32.29,73.03
2026-07-15T11:20:00+00:00,376.13,716.69,176.28,72.57,29.89,32.03,76.78
2026-07-15T11:21:00+00:00,343.67,708.58,169.28,71.83,35.16,30.91,66.0
2026-07-15T11:22:00+00:00,370.73,749.15,169.28,71.6,31.32,33.12,75.68
2026-07-15T11:23:00+00:00,326.84,738.71,183.6,71.65,34.5,32.95,76.56
2026-07-15T11:24:00+00:00,376.68,749.78,178.03,71.11,31.07,32.92,78.14
2026-07-15T11:25:00+00:00,350.57,739.49,184.02,72.6,35.17,33.11,76.46
2026-07-15T11:26:00+00:00,355.09,730.58,177.86,72.31,32.8,31.92,81.18
2026-07-15T11:27:00+00:00,343.27,761.32,158.62,73.14,37.7,30.26,70.12
2026-07-15T11:28:00+00:00,358.26,693.3,179.7,72.43,33.28,33.86,79.78
2026-07-15T11:29:00+00:00,346.74,708.11,183.61,72.29,32.29,31.77,70.55
2026-07-15T11:30:00+00:00,348.16,703.08,168.38,72.07,30.52,32.13,72.3
2026-07-15T11:31:00+00:00,358.95,727.96,175.42,71.79,32.08,32.29,84.03
2026-07-15T11:32:00+00:00,361.12,738.5,193.22,71.56,33.58,31.29,76.48
2026-07-15T11:33:00+00:00,342.61,704.05,179.47,71.69,33.58,32.4,80.64
2026-07-15T11:34:00+00:00,350.17,739.83,176.12,72.0,30.13,32.61,73.54
2026-07-15T11:35:00+00:00,353.53,720.57,180.89,71.94,34.98,33.1,74.86
2026-07-15T11:36:00+00:00,350.42,727.82,180.15,72.63,29.72,33.08,69.08
2026-07-15T11:37:00+00:00,331.95,769.57,191.75,72.76,31.32,31.39,69.61
2026-07-15T11:38:00+00:00,369.19,707.45,169.52,71.89,30.33,31.53,79.28
2026-07-15T11:39:00+00:00,366.79,692.0,175.43,72.06,30.04,32.54,73.0
2026-07-15T11:40:00+00:00,373.71,723.64,189.26,72.5,33.72,33.7,79.35
2026-07-15T11:41:00+00:00,363.9,751.28,171.63,72.04,28.36,32.37,72.47
2026-07-15T11:42:00+00:00,344.73,701.12,167.82,71.89,36.25,30.11,74.12
2026-07-15T11:43:00+00:00,369.1,722.05,181.29,72.21,30.82,31.4,66.13
2026-07-15T11:44:00+00:00,371.73,756.47,177.83,71.61,31.5,34.19,77.26
2026-07-15T11:45:00+00:00,334.22,696.24,171.82,72.04,32.04,31.1,71.3
2026-07-15T11:46:00+00:00,371.76,728.5,171.07,71.37,35.13,30.79,71.77
2026-07-15T11:47:00+00:00,352.41,743.9,190.27,72.25,30.62,30.0,74.73
2026-07-15T11:48:00+00:00,334.58,706.96,185.31,71.28,31.26,32.01,69.64
2026-07-15T11:49:00+00:00,344.02,692.03,175.04,70.68,32.8,29.48,76.81
2026-07-15T11:50:00+00:00,361.25,720.98,168.36,71.57,31.11,32.21,79.47
2026-07-15T11:51:00+00:00,354.83,713.79,187.47,72.14,33.11,31.52,65.53
2026-07-15T11:52:00+00:00,328.88,729.11,175.15,71.57,33.1,32.06,68.0
2026-07-15T11:53:00+00:00,344.57,720.04,169.44,72.18,34.37,30.44,66.55
2026-07-15T11:54:00+00:00,357.22,734.75,167.49,72.21,30.71,32.73,69.13
2026-07-15T11:55:00+00:00,354.96,719.06,184.34,72.41,33.51,32.43,73.1
2026-07-15T11:56:00+00:00,339.04,712.76,164.74,71.98,30.09,32.8,77.11
2026-07-15T11:57:00+00:00,355.76,727.97,186.69,71.57,32.96,32.46,76.93
2026-07-15T11:58:00+00:00,349.47,712.75,162.07,72.59,31.96,32.61,67.55
2026-07-15T11:59:00+00:00,346.75,705.73,155.08,71.76,34.06,32.43,77.26
2026-07-15T12:00:00+00:00,372.06,681.54,177.74,72.99,32.89,30.19,75.05
2026-07-15T12:01:00+00:00,358.86,707.49,153.85,71.61,35.65,31.9,76.27
2026-07-15T12:02:00+00:00,355.97,693.15,167.66,71.3,38.96,32.21,75.85
2026-07-15T12:03:00+00:00,345.56,740.51,178.82,72.47,34.99,31.5,81.5
2026-07-15T12:04:00+00:00,383.33,729.62,147.91,71.78,34.71,32.34,73.32
2026-07-15T12:05:00+00:00,342.78,720.08,164.34,71.68,32.85,31.79,67.78
2026-07-15T12:06:00+00:00,347.07,730.99,154.92,72.21,33.3,32.96,78.94
2026-07-15T12:07:00+00:00,345.94,699.32,142.38,72.43,36.88,32.62,74.32
2026-07-15T12:08:00+00:00,356.15,745.82,188.0,72.33,31.76,29.82,73.14
2026-07-15T12:09:00+00:00,347.97,721.42,163.61,73.05,32.83,32.17,78.46
2026-07-15T12:10:00+00:00,355.17,745.25,173.13,72.09,31.22,31.26,72.98
2026-07-15T12:11:00+00:00,336.07,713.04,173.14,72.2,32.98,30.89,75.82
2026-07-15T12:12:00+00:00,356.58,717.04,170.56,71.67,31.91,31.79,71.64
2026-07-15T12:13:00+00:00,369.73,730.97,176.63,72.43,34.02,32.94,75.4
2026-07-15T12:14:00+00:00,351.42,702.35,163.17,71.13,32.27,32.53,72.81
